npb-3.3-CG-makea_6 0
npb-3.3-SP-initialize4 1
npb-3.3-MG-kernel_comm3_2 0
npb-3.3-SP-compute_rhs6 0
amd-app-sdk-3.0-SimpleConvolution-simpleNonSeparableConvolution 1
polybench-gpu-1.0-bicg-bicgKernel1 1
amd-app-sdk-3.0-ScanLargeArrays-blockAddition 0
npb-3.3-MG-kernel_zero3 0
amd-app-sdk-3.0-SobelFilter-sobel_filter 0
npb-3.3-BT-compute_rhs2 1
shoc-1.1.5-Scan-top_scan 0
npb-3.3-SP-exact_rhs1 0
shoc-1.1.5-Spmv-spmv_csr_scalar_kernel 1
npb-3.3-BT-initialize5 1
npb-3.3-LU-setbv1 0
polybench-gpu-1.0-atax-atax_kernel2 1
rodinia-3.1-bfs-BFS_1 1
npb-3.3-BT-initialize4 1
amd-app-sdk-3.0-FastWalshTransform-fastWalshTransform 0
amd-app-sdk-3.0-BinomialOption-binomial_options 1
npb-3.3-SP-add 0
npb-3.3-SP-ninvr 0
npb-3.3-MG-kernel_comm3_3 0
npb-3.3-BT-y_solve2 1
npb-3.3-SP-initialize5 1
npb-3.3-CG-makea_7 1
amd-app-sdk-3.0-Reduction-reduce 1
polybench-gpu-1.0-correlation-mean_kernel 1
npb-3.3-CG-makea_5 1
polybench-gpu-1.0-syr2k-syr2k_kernel 1
npb-3.3-MG-kernel_comm3_1 0
rodinia-3.1-cfd-initialize_variables 0
parboil-0.2-stencil-naive_kernel 0
rodinia-3.1-lud-lud_internal 1
polybench-gpu-1.0-correlation-corr_kernel 1
polybench-gpu-1.0-bicg-bicgKernel2 1
rodinia-3.1-kmeans-kmeans_swap 1
npb-3.3-LU-ssor2 0
npb-3.3-FT-compute_indexmap 0
npb-3.3-BT-compute_rhs1 0
shoc-1.1.5-Triad-Triad 0
rodinia-3.1-particlefilter-normalize_weights_kernel 0
npb-3.3-LU-setbv2 0
polybench-gpu-1.0-atax-atax_kernel1 1
rodinia-3.1-bfs-BFS_2 0
rodinia-3.1-backprop-bpnn_adjust_weights_ocl 0
npb-3.3-MG-kernel_zran3_3 0
rodinia-3.1-cfd-compute_step_factor 0
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays 1
polybench-gpu-1.0-gemm-gemm 1
npb-3.3-BT-exact_rhs1 1
npb-3.3-BT-x_solve2 1
amd-app-sdk-3.0-ScanLargeArrays-prefixSum 1
npb-3.3-LU-ssor3 0
shoc-1.1.5-Spmv-spmv_ellpackr_kernel 1
nvidia-4.2-VectorAdd-VectorAdd 0
polybench-gpu-1.0-2DConvolution-Convolution2D_kernel 1
shoc-1.1.5-Sort-top_scan 1
npb-3.3-CG-makea_4 1
nvidia-4.2-MatVecMul-MatVecMulCoalesced2 1
nvidia-4.2-MatVecMul-MatVecMulUncoalesced0 1
nvidia-4.2-MersenneTwister-BoxMuller 1
npb-3.3-BT-exact_rhs5 0
npb-3.3-FT-cffts2 1
amd-app-sdk-3.0-BitonicSort-bitonicSort 0
polybench-gpu-1.0-gramschmidt-gramschmidt_kernel1 1
npb-3.3-CG-main_1 0
npb-3.3-BT-initialize3 1
rodinia-3.1-gaussian-Fan2 0
polybench-gpu-1.0-correlation-std_kernel 1
polybench-gpu-1.0-2mm-mm2_kernel1 1
polybench-gpu-1.0-correlation-reduce_kernel 0
polybench-gpu-1.0-covariance-mean_kernel 1
npb-3.3-FT-evolve 0
npb-3.3-CG-main_0 1
amd-app-sdk-3.0-FloydWarshall-floydWarshallPass 0
rodinia-3.1-nn-NearestNeighbor 0
npb-3.3-FT-cffts3 1
parboil-0.2-spmv-A 1
nvidia-4.2-MatVecMul-MatVecMulUncoalesced1 1
polybench-gpu-1.0-mvt-mvt_kernel1 1
amd-app-sdk-3.0-SimpleConvolution-simpleSeparableConvolutionPass1 1
npb-3.3-CG-conj_grad_0 0
polybench-gpu-1.0-3mm-mm3_kernel1 1
npb-3.3-SP-initialize3 1
rodinia-3.1-particlefilter-find_index_kernel 0
npb-3.3-SP-initialize1 1
shoc-1.1.5-FFT-chk1D_512 1
nvidia-4.2-DotProduct-DotProduct 0
polybench-gpu-1.0-3mm-mm3_kernel3 1
amd-app-sdk-3.0-PrefixSum-group_prefixSum 1
